Month,Year,Month_and_Year,Municipality,SVEITARFEL,Unemployment_Rate
Jan,2020,Jan 2020,Akrahreppur,Akrahreppur,1.85%
Feb,2020,Feb 2020,Akrahreppur,Akrahreppur,2.78%
Mar,2020,Mar 2020,Akrahreppur,Akrahreppur,5.56%
Jan,2020,Jan 2020,Akranes,Akraneskaupstaður,3.73%
Feb,2020,Feb 2020,Akranes,Akraneskaupstaður,3.53%
Mar,2020,Mar 2020,Akranes,Akraneskaupstaður,4.91%
Jan,2020,Jan 2020,Akureyri,Akureyrarkaupstaður,4.42%
Feb,2020,Feb 2020,Akureyri,Akureyrarkaupstaður,4.60%
Mar,2020,Mar 2020,Akureyri,Akureyrarkaupstaður,6.42%
Jan,2020,Jan 2020,Árneshreppur,Árneshreppur,8.33%
Feb,2020,Feb 2020,Árneshreppur,Árneshreppur,4.17%
Mar,2020,Mar 2020,Árneshreppur,Árneshreppur,4.17%
Jan,2020,Jan 2020,Ásahreppur,Ásahreppur,1.32%
Feb,2020,Feb 2020,Ásahreppur,Ásahreppur,1.32%
Mar,2020,Mar 2020,Ásahreppur,Ásahreppur,4.61%
Jan,2020,Jan 2020,Bláskógabyggð,Bláskógabyggð,2.91%
Feb,2020,Feb 2020,Bláskógabyggð,Bláskógabyggð,2.77%
Mar,2020,Mar 2020,Bláskógabyggð,Bláskógabyggð,9.24%
Jan,2020,Jan 2020,Blönduósbær,Blönduósbær,0.84%
Feb,2020,Feb 2020,Blönduósbær,Blönduósbær,0.84%
Mar,2020,Mar 2020,Blönduósbær,Blönduósbær,2.73%
Jan,2020,Jan 2020,Bolungarvík,Bolungarvíkurkaupstaður,1.11%
Feb,2020,Feb 2020,Bolungarvík,Bolungarvíkurkaupstaður,1.48%
Mar,2020,Mar 2020,Bolungarvík,Bolungarvíkurkaupstaður,3.15%
Jan,2020,Jan 2020,Borgarbyggð,Borgarbyggð,2.61%
Feb,2020,Feb 2020,Borgarbyggð,Borgarbyggð,2.52%
Mar,2020,Mar 2020,Borgarbyggð,Borgarbyggð,4.35%
Jan,2020,Jan 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,3.49%
Feb,2020,Feb 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,1.15%
Mar,2020,Mar 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,6.82%
Jan,2020,Jan 2020,Dalabyggð,Dalabyggð,2.35%
Feb,2020,Feb 2020,Dalabyggð,Dalabyggð,2.36%
Mar,2020,Mar 2020,Dalabyggð,Dalabyggð,4.73%
Jan,2020,Jan 2020,Dalvíkurbyggð,Dalvíkurbyggð,2.46%
Feb,2020,Feb 2020,Dalvíkurbyggð,Dalvíkurbyggð,2.55%
Mar,2020,Mar 2020,Dalvíkurbyggð,Dalvíkurbyggð,5.10%
Jan,2020,Jan 2020,Djúpavogshreppur,Djúpavogshreppur,3.96%
Feb,2020,Feb 2020,Djúpavogshreppur,Djúpavogshreppur,2.85%
Mar,2020,Mar 2020,Djúpavogshreppur,Djúpavogshreppur,6.03%
Jan,2020,Jan 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,14.93%
Feb,2020,Feb 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,14.93%
Mar,2020,Mar 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,16.42%
Jan,2020,Jan 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,3.39%
Feb,2020,Feb 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,3.74%
Mar,2020,Mar 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,4.93%
Jan,2020,Jan 2020,Fjallabyggð,Fjallabyggð,5.02%
Feb,2020,Feb 2020,Fjallabyggð,Fjallabyggð,5.21%
Mar,2020,Mar 2020,Fjallabyggð,Fjallabyggð,6.39%
Jan,2020,Jan 2020,Fjarðabyggð,Fjarðabyggð,3.65%
Feb,2020,Feb 2020,Fjarðabyggð,Fjarðabyggð,3.30%
Mar,2020,Mar 2020,Fjarðabyggð,Fjarðabyggð,4.05%
Jan,2020,Jan 2020,Fljótsdalshérað,Fljótsdalshérað,1.57%
Feb,2020,Feb 2020,Fljótsdalshérað,Fljótsdalshérað,1.77%
Mar,2020,Mar 2020,Fljótsdalshérað,Fljótsdalshérað,2.93%
Jan,2020,Jan 2020,Fljótsdalshreppur,Fljótsdalshreppur,3.08%
Feb,2020,Feb 2020,Fljótsdalshreppur,Fljótsdalshreppur,1.52%
Mar,2020,Mar 2020,Fljótsdalshreppur,Fljótsdalshreppur,1.52%
Jan,2020,Jan 2020,Flóahreppur,Flóahreppur,1.31%
Feb,2020,Feb 2020,Flóahreppur,Flóahreppur,1.56%
Mar,2020,Mar 2020,Flóahreppur,Flóahreppur,3.65%
Jan,2020,Jan 2020,Garðabær,Garðabær,3.17%
Feb,2020,Feb 2020,Garðabær,Garðabær,3.16%
Mar,2020,Mar 2020,Garðabær,Garðabær,5.11%
Jan,2020,Jan 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,3.23%
Feb,2020,Feb 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,3.55%
Mar,2020,Mar 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,6.45%
Jan,2020,Jan 2020,Grindavíkurbær,Grindavíkurbær,4.26%
Feb,2020,Feb 2020,Grindavíkurbær,Grindavíkurbær,4.25%
Mar,2020,Mar 2020,Grindavíkurbær,Grindavíkurbær,6.10%
Jan,2020,Jan 2020,Grundarfjarðarbær,Grundarfjarðarbær,2.74%
Feb,2020,Feb 2020,Grundarfjarðarbær,Grundarfjarðarbær,2.54%
Mar,2020,Mar 2020,Grundarfjarðarbær,Grundarfjarðarbær,5.27%
Jan,2020,Jan 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.08%
Feb,2020,Feb 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.08%
Mar,2020,Mar 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.60%
Jan,2020,Jan 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,4.17%
Feb,2020,Feb 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,4.19%
Mar,2020,Mar 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,6.24%
Jan,2020,Jan 2020,Helgafellssveit,Helgafellssveit,0.00%
Feb,2020,Feb 2020,Helgafellssveit,Helgafellssveit,0.00%
Mar,2020,Mar 2020,Helgafellssveit,Helgafellssveit,0.00%
Jan,2020,Jan 2020,Hörgársveit,Hörgársveit,5.31%
Feb,2020,Feb 2020,Hörgársveit,Hörgársveit,5.85%
Mar,2020,Mar 2020,Hörgársveit,Hörgársveit,8.61%
Jan,2020,Jan 2020,Hrunamannahreppur,Hrunamannahreppur,4.23%
Feb,2020,Feb 2020,Hrunamannahreppur,Hrunamannahreppur,4.42%
Mar,2020,Mar 2020,Hrunamannahreppur,Hrunamannahreppur,6.60%
Jan,2020,Jan 2020,Húnavatnshreppur,Húnavatnshreppur,0.90%
Feb,2020,Feb 2020,Húnavatnshreppur,Húnavatnshreppur,0.90%
Mar,2020,Mar 2020,Húnavatnshreppur,Húnavatnshreppur,0.45%
Jan,2020,Jan 2020,Húnaþing vestra,Húnaþing Vestra,3.59%
Feb,2020,Feb 2020,Húnaþing vestra,Húnaþing Vestra,3.59%
Mar,2020,Mar 2020,Húnaþing vestra,Húnaþing Vestra,5.23%
Jan,2020,Jan 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,1.85%
Feb,2020,Feb 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,1.85%
Mar,2020,Mar 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,3.16%
Jan,2020,Jan 2020,Hveragerði,Hveragerðisbær,2.76%
Feb,2020,Feb 2020,Hveragerði,Hveragerðisbær,2.96%
Mar,2020,Mar 2020,Hveragerði,Hveragerðisbær,6.31%
Jan,2020,Jan 2020,Ísafjarðarbær,Ísafjarðarbær,3.80%
Feb,2020,Feb 2020,Ísafjarðarbær,Ísafjarðarbær,3.52%
Mar,2020,Mar 2020,Ísafjarðarbær,Ísafjarðarbær,5.00%
Jan,2020,Jan 2020,Kaldrananeshreppur,Kaldrananeshreppur,1.39%
Feb,2020,Feb 2020,Kaldrananeshreppur,Kaldrananeshreppur,1.39%
Mar,2020,Mar 2020,Kaldrananeshreppur,Kaldrananeshreppur,2.78%
Jan,2020,Jan 2020,Kjósarhreppur,Kjósarhreppur,5.33%
Feb,2020,Feb 2020,Kjósarhreppur,Kjósarhreppur,4.00%
Mar,2020,Mar 2020,Kjósarhreppur,Kjósarhreppur,4.00%
Jan,2020,Jan 2020,Kópavogsbær,Kópavogsbær,4.17%
Feb,2020,Feb 2020,Kópavogsbær,Kópavogsbær,4.20%
Mar,2020,Mar 2020,Kópavogsbær,Kópavogsbær,6.15%
Jan,2020,Jan 2020,Langanesbyggð,Langanesbyggð,12.11%
Feb,2020,Feb 2020,Langanesbyggð,Langanesbyggð,10.42%
Mar,2020,Mar 2020,Langanesbyggð,Langanesbyggð,9.38%
Jan,2020,Jan 2020,Mosfellsbær,Mosfellsbær,3.60%
Feb,2020,Feb 2020,Mosfellsbær,Mosfellsbær,3.81%
Mar,2020,Mar 2020,Mosfellsbær,Mosfellsbær,5.78%
Jan,2020,Jan 2020,Mýrdalshreppur,Mýrdalshreppur,4.08%
Feb,2020,Feb 2020,Mýrdalshreppur,Mýrdalshreppur,4.27%
Mar,2020,Mar 2020,Mýrdalshreppur,Mýrdalshreppur,10.00%
Jan,2020,Jan 2020,Norðurþing,Norðurþing,4.81%
Feb,2020,Feb 2020,Norðurþing,Norðurþing,4.54%
Mar,2020,Mar 2020,Norðurþing,Norðurþing,6.66%
Jan,2020,Jan 2020,Rangárþing eystra,Rangárþing eystra,3.35%
Feb,2020,Feb 2020,Rangárþing eystra,Rangárþing eystra,3.35%
Mar,2020,Mar 2020,Rangárþing eystra,Rangárþing eystra,7.82%
Jan,2020,Jan 2020,Rangárþing ytra,Rangárþing ytra,2.77%
Feb,2020,Feb 2020,Rangárþing ytra,Rangárþing ytra,3.18%
Mar,2020,Mar 2020,Rangárþing ytra,Rangárþing ytra,5.54%
Jan,2020,Jan 2020,Reykhólahreppur,Reykhólahreppur,2.33%
Feb,2020,Feb 2020,Reykhólahreppur,Reykhólahreppur,2.33%
Mar,2020,Mar 2020,Reykhólahreppur,Reykhólahreppur,3.85%
Jan,2020,Jan 2020,Reykjanesbær,Reykjanesbær,9.65%
Feb,2020,Feb 2020,Reykjanesbær,Reykjanesbær,9.44%
Mar,2020,Mar 2020,Reykjanesbær,Reykjanesbær,11.90%
Jan,2020,Jan 2020,Reykjavíkurborg,Reykjavíkurborg,5.03%
Feb,2020,Feb 2020,Reykjavíkurborg,Reykjavíkurborg,5.21%
Mar,2020,Mar 2020,Reykjavíkurborg,Reykjavíkurborg,7.49%
Jan,2020,Jan 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,3.56%
Feb,2020,Feb 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,3.60%
Mar,2020,Mar 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,5.59%
Jan,2020,Jan 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,1.75%
Feb,2020,Feb 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,1.75%
Mar,2020,Mar 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,3.76%
Jan,2020,Jan 2020,Skaftárhreppur,Skaftárhreppur,3.39%
Feb,2020,Feb 2020,Skaftárhreppur,Skaftárhreppur,3.64%
Mar,2020,Mar 2020,Skaftárhreppur,Skaftárhreppur,7.99%
Jan,2020,Jan 2020,Skagabyggð,Skagabyggð,4.17%
Feb,2020,Feb 2020,Skagabyggð,Skagabyggð,4.17%
Mar,2020,Mar 2020,Skagabyggð,Skagabyggð,6.25%
Jan,2020,Jan 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,2.49%
Feb,2020,Feb 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,2.23%
Mar,2020,Mar 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,3.37%
Jan,2020,Jan 2020,Skorradalshreppur,Skorradalshreppur,0.00%
Feb,2020,Feb 2020,Skorradalshreppur,Skorradalshreppur,0.00%
Mar,2020,Mar 2020,Skorradalshreppur,Skorradalshreppur,2.78%
Jan,2020,Jan 2020,Skútustaðahreppur,Skútustaðahreppur,6.65%
Feb,2020,Feb 2020,Skútustaðahreppur,Skútustaðahreppur,6.04%
Mar,2020,Mar 2020,Skútustaðahreppur,Skútustaðahreppur,11.48%
Jan,2020,Jan 2020,Snæfellsbær,Snæfellsbær,2.58%
Feb,2020,Feb 2020,Snæfellsbær,Snæfellsbær,2.27%
Mar,2020,Mar 2020,Snæfellsbær,Snæfellsbær,4.55%
Jan,2020,Jan 2020,Strandabyggð,Strandabyggð,3.92%
Feb,2020,Feb 2020,Strandabyggð,Strandabyggð,3.50%
Mar,2020,Mar 2020,Strandabyggð,Strandabyggð,4.28%
Jan,2020,Jan 2020,Stykkishólmur,Stykkishólmsbær,1.95%
Feb,2020,Feb 2020,Stykkishólmur,Stykkishólmsbær,1.80%
Mar,2020,Mar 2020,Stykkishólmur,Stykkishólmsbær,3.90%
Jan,2020,Jan 2020,Súðavíkurhreppur,Súðavíkurhreppur,2.33%
Feb,2020,Feb 2020,Súðavíkurhreppur,Súðavíkurhreppur,1.54%
Mar,2020,Mar 2020,Súðavíkurhreppur,Súðavíkurhreppur,3.85%
Jan,2020,Jan 2020,Suðurnesjabær,Suðurnesjabær,8.16%
Feb,2020,Feb 2020,Suðurnesjabær,Suðurnesjabær,8.68%
Mar,2020,Mar 2020,Suðurnesjabær,Suðurnesjabær,10.02%
Jan,2020,Jan 2020,Svalbarðastrandahreppur,Svalbarðsstrandarhreppur,2.36%
Feb,2020,Feb 2020,Svalbarðastrandahreppur,Svalbarðsstrandarhreppur,3.04%
Mar,2020,Mar 2020,Svalbarðastrandahreppur,Svalbarðsstrandarhreppur,3.04%
Jan,2020,Jan 2020,Svalbarðshreppur,Svalbarðshreppur ,3.85%
Feb,2020,Feb 2020,Svalbarðshreppur,Svalbarðshreppur ,3.85%
Mar,2020,Mar 2020,Svalbarðshreppur,Svalbarðshreppur ,3.85%
Jan,2020,Jan 2020,Sveitarfélagið Árborg,Sveitarfélagið Árborg,3.32%
Feb,2020,Feb 2020,Sveitarfélagið Árborg,Sveitarfélagið Árborg,3.49%
Mar,2020,Mar 2020,Sveitarfélagið Árborg,Sveitarfélagið Árborg,5.63%
Jan,2020,Jan 2020,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,2.02%
Feb,2020,Feb 2020,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,1.95%
Mar,2020,Mar 2020,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,5.10%
Jan,2020,Jan 2020,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,6.00%
Feb,2020,Feb 2020,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,5.03%
Mar,2020,Mar 2020,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,6.56%
Jan,2020,Jan 2020,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,1.86%
Feb,2020,Feb 2020,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,1.77%
Mar,2020,Mar 2020,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,2.97%
Jan,2020,Jan 2020,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,4.56%
Feb,2020,Feb 2020,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,4.92%
Mar,2020,Mar 2020,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,6.42%
Jan,2020,Jan 2020,Sveitarfélagið Vogar,Sveitarfélagið Vogar,7.36%
Feb,2020,Feb 2020,Sveitarfélagið Vogar,Sveitarfélagið Vogar,7.11%
Mar,2020,Mar 2020,Sveitarfélagið Vogar,Sveitarfélagið Vogar,10.85%
Jan,2020,Jan 2020,Tálknafjarðarhreppur,Tálknafjarðarhreppur,2.70%
Feb,2020,Feb 2020,Tálknafjarðarhreppur,Tálknafjarðarhreppur,1.35%
Mar,2020,Mar 2020,Tálknafjarðarhreppur,Tálknafjarðarhreppur,4.03%
Jan,2020,Jan 2020,Tjörneshreppur,Tjörneshreppur,7.41%
Feb,2020,Feb 2020,Tjörneshreppur,Tjörneshreppur,3.70%
Mar,2020,Mar 2020,Tjörneshreppur,Tjörneshreppur,7.41%
Jan,2020,Jan 2020,Vestmannaeyjar,Vestmannaeyjabær,2.97%
Feb,2020,Feb 2020,Vestmannaeyjar,Vestmannaeyjabær,3.21%
Mar,2020,Mar 2020,Vestmannaeyjar,Vestmannaeyjabær,4.88%
Jan,2020,Jan 2020,Vesturbyggð,Vesturbyggð,2.84%
Feb,2020,Feb 2020,Vesturbyggð,Vesturbyggð,2.17%
Mar,2020,Mar 2020,Vesturbyggð,Vesturbyggð,3.65%
Jan,2020,Jan 2020,Vopnafjarðarhreppur,Vopnafjarðarhreppur,8.07%
Feb,2020,Feb 2020,Vopnafjarðarhreppur,Vopnafjarðarhreppur,9.25%
Mar,2020,Mar 2020,Vopnafjarðarhreppur,Vopnafjarðarhreppur,10.98%
Jan,2020,Jan 2020,Þingeyjarsveit,Þingeyjarsveit,3.35%
Feb,2020,Feb 2020,Þingeyjarsveit,Þingeyjarsveit,2.95%
Mar,2020,Mar 2020,Þingeyjarsveit,Þingeyjarsveit,6.34%
Apr,2020,Apr 2020,Akrahreppur,Akrahreppur,7.27%
Apr,2020,Apr 2020,Akranes,Akraneskaupstaður,5.36%
Apr,2020,Apr 2020,Akureyri,Akureyrarkaupstaður,7.06%
Apr,2020,Apr 2020,Árneshreppur,Árneshreppur,4.00%
Apr,2020,Apr 2020,Ásahreppur,Ásahreppur,4.55%
Apr,2020,Apr 2020,Bláskógabyggð,Bláskógabyggð,8.84%
Apr,2020,Apr 2020,Blönduósbær,Blönduósbær,2.49%
Apr,2020,Apr 2020,Bolungarvík,Bolungarvíkurkaupstaður,3.68%
Apr,2020,Apr 2020,Borgarbyggð,Borgarbyggð,4.49%
Apr,2020,Apr 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,4.44%
Apr,2020,Apr 2020,Dalabyggð,Dalabyggð,4.11%
Apr,2020,Apr 2020,Dalvíkurbyggð,Dalvíkurbyggð,5.24%
Apr,2020,Apr 2020,Djúpavogshreppur,Djúpavogshreppur,5.23%
Apr,2020,Apr 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,10.29%
Apr,2020,Apr 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,5.89%
Apr,2020,Apr 2020,Fjallabyggð,Fjallabyggð,6.41%
Apr,2020,Apr 2020,Fjarðabyggð,Fjarðabyggð,4.23%
Apr,2020,Apr 2020,Fljótsdalshérað,Fljótsdalshérað,3.45%
Apr,2020,Apr 2020,Fljótsdalshreppur,Fljótsdalshreppur,4.41%
Apr,2020,Apr 2020,Flóahreppur,Flóahreppur,3.86%
Apr,2020,Apr 2020,Garðabær,Garðabær,6.15%
Apr,2020,Apr 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,5.45%
Apr,2020,Apr 2020,Grindavíkurbær,Grindavíkurbær,6.97%
Apr,2020,Apr 2020,Grundarfjarðarbær,Grundarfjarðarbær,5.80%
Apr,2020,Apr 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.58%
Apr,2020,Apr 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,7.26%
Apr,2020,Apr 2020,Helgafellssveit,Helgafellssveit,5.56%
Apr,2020,Apr 2020,Hörgársveit,Hörgársveit,9.34%
Apr,2020,Apr 2020,Hrunamannahreppur,Hrunamannahreppur,7.30%
Apr,2020,Apr 2020,Húnavatnshreppur,Húnavatnshreppur,0.44%
Apr,2020,Apr 2020,Húnaþing vestra,Húnaþing Vestra,4.59%
Apr,2020,Apr 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,3.64%
Apr,2020,Apr 2020,Hveragerði,Hveragerðisbær,5.91%
Apr,2020,Apr 2020,Ísafjarðarbær,Ísafjarðarbær,5.13%
Apr,2020,Apr 2020,Kaldrananeshreppur,Kaldrananeshreppur,2.74%
Apr,2020,Apr 2020,Kjósarhreppur,Kjósarhreppur,5.26%
Apr,2020,Apr 2020,Kópavogsbær,Kópavogsbær,7.14%
Apr,2020,Apr 2020,Langanesbyggð,Langanesbyggð,10.03%
Apr,2020,Apr 2020,Mosfellsbær,Mosfellsbær,6.96%
Apr,2020,Apr 2020,Mýrdalshreppur,Mýrdalshreppur,14.26%
Apr,2020,Apr 2020,Norðurþing,Norðurþing,6.65%
Apr,2020,Apr 2020,Rangárþing eystra,Rangárþing eystra,9.12%
Apr,2020,Apr 2020,Rangárþing ytra,Rangárþing ytra,7.21%
Apr,2020,Apr 2020,Reykhólahreppur,Reykhólahreppur,2.27%
Apr,2020,Apr 2020,Reykjanesbær,Reykjanesbær,13.01%
Apr,2020,Apr 2020,Reykjavíkurborg,Reykjavíkurborg,8.76%
Apr,2020,Apr 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,6.11%
Apr,2020,Apr 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,4.22%
Apr,2020,Apr 2020,Skaftárhreppur,Skaftárhreppur,12.18%
Apr,2020,Apr 2020,Skagabyggð,Skagabyggð,6.12%
Apr,2020,Apr 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,3.63%
Apr,2020,Apr 2020,Skorradalshreppur,Skorradalshreppur,2.78%
Apr,2020,Apr 2020,Skútustaðahreppur,Skútustaðahreppur,12.87%
Apr,2020,Apr 2020,Snæfellsbær,Snæfellsbær,4.71%
Apr,2020,Apr 2020,Strandabyggð,Strandabyggð,5.00%
Apr,2020,Apr 2020,Stykkishólmur,Stykkishólmsbær,4.30%
Apr,2020,Apr 2020,Súðavíkurhreppur,Súðavíkurhreppur,2.29%
Apr,2020,Apr 2020,Suðurnesjabær,Suðurnesjabær,11.20%
Apr,2020,Apr 2020,Svalbarðastrandahreppur,Svalbarðsstrandarhreppur,2.01%
Apr,2020,Apr 2020,Svalbarðshreppur,Svalbarðshreppur ,3.77%
Apr,2020,Apr 2020,Sveitarfélagið Árborg,Sveitarfélagið Árborg,5.77%
Apr,2020,Apr 2020,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,6.58%
Apr,2020,Apr 2020,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,7.93%
Apr,2020,Apr 2020,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,3.20%
Apr,2020,Apr 2020,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,6.69%
Apr,2020,Apr 2020,Sveitarfélagið Vogar,Sveitarfélagið Vogar,9.86%
Apr,2020,Apr 2020,Tálknafjarðarhreppur,Tálknafjarðarhreppur,6.71%
Apr,2020,Apr 2020,Tjörneshreppur,Tjörneshreppur,7.41%
Apr,2020,Apr 2020,Vestmannaeyjar,Vestmannaeyjabær,4.71%
Apr,2020,Apr 2020,Vesturbyggð,Vesturbyggð,3.61%
Apr,2020,Apr 2020,Vopnafjarðarhreppur,Vopnafjarðarhreppur,7.76%
Apr,2020,Apr 2020,Þingeyjarsveit,Þingeyjarsveit,7.34%
May,2020,May 2020,Akrahreppur,Akrahreppur,6.42%
May,2020,May 2020,Akranes,Akraneskaupstaður,5.26%
May,2020,May 2020,Akureyri,Akureyrarkaupstaður,6.08%
May,2020,May 2020,Árneshreppur,Árneshreppur,4.00%
May,2020,May 2020,Ásahreppur,Ásahreppur,6.49%
May,2020,May 2020,Bláskógabyggð,Bláskógabyggð,8.96%
May,2020,May 2020,Blönduósbær,Blönduósbær,1.46%
May,2020,May 2020,Bolungarvík,Bolungarvíkurkaupstaður,2.76%
May,2020,May 2020,Borgarbyggð,Borgarbyggð,4.58%
May,2020,May 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,3.33%
May,2020,May 2020,Dalabyggð,Dalabyggð,2.06%
May,2020,May 2020,Dalvíkurbyggð,Dalvíkurbyggð,4.40%
May,2020,May 2020,Djúpavogshreppur,Djúpavogshreppur,5.17%
May,2020,May 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,10.29%
May,2020,May 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,4.89%
May,2020,May 2020,Fjallabyggð,Fjallabyggð,6.41%
May,2020,May 2020,Fjarðabyggð,Fjarðabyggð,3.67%
May,2020,May 2020,Fljótsdalshérað,Fljótsdalshérað,2.84%
May,2020,May 2020,Fljótsdalshreppur,Fljótsdalshreppur,4.35%
May,2020,May 2020,Flóahreppur,Flóahreppur,3.61%
May,2020,May 2020,Garðabær,Garðabær,5.83%
May,2020,May 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,5.13%
May,2020,May 2020,Grindavíkurbær,Grindavíkurbær,7.11%
May,2020,May 2020,Grundarfjarðarbær,Grundarfjarðarbær,5.61%
May,2020,May 2020,Grýtubakkahreppur,Grýtubakkahreppur,3.11%
May,2020,May 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,6.81%
May,2020,May 2020,Helgafellssveit,Helgafellssveit,2.78%
May,2020,May 2020,Hörgársveit,Hörgársveit,8.79%
May,2020,May 2020,Hrunamannahreppur,Hrunamannahreppur,6.86%
May,2020,May 2020,Húnavatnshreppur,Húnavatnshreppur,0.44%
May,2020,May 2020,Húnaþing vestra,Húnaþing Vestra,4.73%
May,2020,May 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,2.86%
May,2020,May 2020,Hveragerði,Hveragerðisbær,5.36%
May,2020,May 2020,Ísafjarðarbær,Ísafjarðarbær,4.17%
May,2020,May 2020,Kaldrananeshreppur,Kaldrananeshreppur,8.11%
May,2020,May 2020,Kjósarhreppur,Kjósarhreppur,4.64%
May,2020,May 2020,Kópavogsbær,Kópavogsbær,6.76%
