Month,Year,Month_and_Year,Municipality,SVEITARFEL,Unemployment_Rate
May,2020,May 2020,Langanesbyggð,Langanesbyggð,9.00%
May,2020,May 2020,Mosfellsbær,Mosfellsbær,5.86%
May,2020,May 2020,Mýrdalshreppur,Mýrdalshreppur,21.71%
May,2020,May 2020,Norðurþing,Norðurþing,6.53%
May,2020,May 2020,Rangárþing eystra,Rangárþing eystra,9.97%
May,2020,May 2020,Rangárþing ytra,Rangárþing ytra,7.30%
May,2020,May 2020,Reykhólahreppur,Reykhólahreppur,3.79%
May,2020,May 2020,Reykjanesbær,Reykjanesbær,14.45%
May,2020,May 2020,Reykjavíkurborg,Reykjavíkurborg,8.82%
May,2020,May 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,5.92%
May,2020,May 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,3.47%
May,2020,May 2020,Skaftárhreppur,Skaftárhreppur,16.41%
May,2020,May 2020,Skagabyggð,Skagabyggð,6.12%
May,2020,May 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,3.65%
May,2020,May 2020,Skorradalshreppur,Skorradalshreppur,2.78%
May,2020,May 2020,Skútustaðahreppur,Skútustaðahreppur,12.84%
May,2020,May 2020,Snæfellsbær,Snæfellsbær,4.20%
May,2020,May 2020,Strandabyggð,Strandabyggð,3.46%
May,2020,May 2020,Stykkishólmur,Stykkishólmsbær,4.60%
May,2020,May 2020,Súðavíkurhreppur,Súðavíkurhreppur,2.29%
May,2020,May 2020,Suðurnesjabær,Suðurnesjabær,11.32%
May,2020,May 2020,Svalbarðastrandahreppur,Svalbarðsstrandarhreppur,1.35%
May,2020,May 2020,Svalbarðshreppur,Svalbarðshreppur ,3.77%
May,2020,May 2020,Sveitarfélagið Árborg,Sveitarfélagið Árborg,5.46%
May,2020,May 2020,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,6.97%
May,2020,May 2020,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,7.83%
May,2020,May 2020,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,2.46%
May,2020,May 2020,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,5.95%
May,2020,May 2020,Sveitarfélagið Vogar,Sveitarfélagið Vogar,10.59%
May,2020,May 2020,Tálknafjarðarhreppur,Tálknafjarðarhreppur,6.00%
May,2020,May 2020,Tjörneshreppur,Tjörneshreppur,7.41%
May,2020,May 2020,Vestmannaeyjar,Vestmannaeyjabær,3.99%
May,2020,May 2020,Vesturbyggð,Vesturbyggð,3.11%
May,2020,May 2020,Vopnafjarðarhreppur,Vopnafjarðarhreppur,6.34%
May,2020,May 2020,Þingeyjarsveit,Þingeyjarsveit,8.21%
Jun,2020,Jun 2020,Akrahreppur,Akrahreppur,5.50%
Jun,2020,Jun 2020,Akranes,Akraneskaupstaður,5.16%
Jun,2020,Jun 2020,Akureyri,Akureyrarkaupstaður,5.15%
Jun,2020,Jun 2020,Árneshreppur,Árneshreppur,4.00%
Jun,2020,Jun 2020,Ásahreppur,Ásahreppur,6.49%
Jun,2020,Jun 2020,Bláskógabyggð,Bláskógabyggð,7.99%
Jun,2020,Jun 2020,Blönduósbær,Blönduósbær,1.25%
Jun,2020,Jun 2020,Bolungarvík,Bolungarvíkurkaupstaður,3.68%
Jun,2020,Jun 2020,Borgarbyggð,Borgarbyggð,4.44%
Jun,2020,Jun 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,2.20%
Jun,2020,Jun 2020,Dalabyggð,Dalabyggð,2.06%
Jun,2020,Jun 2020,Dalvíkurbyggð,Dalvíkurbyggð,3.46%
Jun,2020,Jun 2020,Djúpavogshreppur,Djúpavogshreppur,4.11%
Jun,2020,Jun 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,16.18%
Jun,2020,Jun 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,4.39%
Jun,2020,Jun 2020,Fjallabyggð,Fjallabyggð,4.87%
Jun,2020,Jun 2020,Fjarðabyggð,Fjarðabyggð,3.39%
Jun,2020,Jun 2020,Fljótsdalshérað,Fljótsdalshérað,2.29%
Jun,2020,Jun 2020,Fljótsdalshreppur,Fljótsdalshreppur,2.86%
Jun,2020,Jun 2020,Flóahreppur,Flóahreppur,3.09%
Jun,2020,Jun 2020,Garðabær,Garðabær,5.62%
Jun,2020,Jun 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,4.81%
Jun,2020,Jun 2020,Grindavíkurbær,Grindavíkurbær,7.30%
Jun,2020,Jun 2020,Grundarfjarðarbær,Grundarfjarðarbær,5.22%
Jun,2020,Jun 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.59%
Jun,2020,Jun 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,6.64%
Jun,2020,Jun 2020,Helgafellssveit,Helgafellssveit,0.00%
Jun,2020,Jun 2020,Hörgársveit,Hörgársveit,7.12%
Jun,2020,Jun 2020,Hrunamannahreppur,Hrunamannahreppur,6.45%
Jun,2020,Jun 2020,Húnavatnshreppur,Húnavatnshreppur,1.33%
Jun,2020,Jun 2020,Húnaþing vestra,Húnaþing Vestra,4.73%
Jun,2020,Jun 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,2.84%
Jun,2020,Jun 2020,Hveragerði,Hveragerðisbær,4.89%
Jun,2020,Jun 2020,Ísafjarðarbær,Ísafjarðarbær,3.43%
Jun,2020,Jun 2020,Kaldrananeshreppur,Kaldrananeshreppur,6.76%
Jun,2020,Jun 2020,Kjósarhreppur,Kjósarhreppur,3.97%
Jun,2020,Jun 2020,Kópavogsbær,Kópavogsbær,6.84%
Jun,2020,Jun 2020,Langanesbyggð,Langanesbyggð,9.03%
Jun,2020,Jun 2020,Mosfellsbær,Mosfellsbær,5.85%
Jun,2020,Jun 2020,Mýrdalshreppur,Mýrdalshreppur,24.12%
Jun,2020,Jun 2020,Norðurþing,Norðurþing,6.04%
Jun,2020,Jun 2020,Rangárþing eystra,Rangárþing eystra,9.78%
Jun,2020,Jun 2020,Rangárþing ytra,Rangárþing ytra,6.79%
Jun,2020,Jun 2020,Reykhólahreppur,Reykhólahreppur,3.01%
Jun,2020,Jun 2020,Reykjanesbær,Reykjanesbær,15.87%
Jun,2020,Jun 2020,Reykjavíkurborg,Reykjavíkurborg,8.96%
Jun,2020,Jun 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,6.07%
Jun,2020,Jun 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,2.48%
Jun,2020,Jun 2020,Skaftárhreppur,Skaftárhreppur,17.29%
Jun,2020,Jun 2020,Skagabyggð,Skagabyggð,6.12%
Jun,2020,Jun 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,4.52%
Jun,2020,Jun 2020,Skorradalshreppur,Skorradalshreppur,0.00%
Jun,2020,Jun 2020,Skútustaðahreppur,Skútustaðahreppur,11.08%
Jun,2020,Jun 2020,Snæfellsbær,Snæfellsbær,6.04%
Jun,2020,Jun 2020,Strandabyggð,Strandabyggð,2.68%
Jun,2020,Jun 2020,Stykkishólmur,Stykkishólmsbær,3.70%
Jun,2020,Jun 2020,Súðavíkurhreppur,Súðavíkurhreppur,0.76%
Jun,2020,Jun 2020,Suðurnesjabær,Suðurnesjabær,12.11%
Jun,2020,Jun 2020,Svalbarðastrandahreppur,Svalbarðsstrandarhreppur,1.68%
Jun,2020,Jun 2020,Svalbarðshreppur,Svalbarðshreppur ,3.85%
Jun,2020,Jun 2020,Sveitarfélagið Árborg,Sveitarfélagið Árborg,5.03%
Jun,2020,Jun 2020,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,6.95%
Jun,2020,Jun 2020,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,7.09%
Jun,2020,Jun 2020,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,2.32%
Jun,2020,Jun 2020,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,5.19%
Jun,2020,Jun 2020,Sveitarfélagið Vogar,Sveitarfélagið Vogar,11.82%
Jun,2020,Jun 2020,Tálknafjarðarhreppur,Tálknafjarðarhreppur,4.00%
Jun,2020,Jun 2020,Tjörneshreppur,Tjörneshreppur,7.69%
Jun,2020,Jun 2020,Vestmannaeyjar,Vestmannaeyjabær,3.43%
Jun,2020,Jun 2020,Vesturbyggð,Vesturbyggð,3.43%
Jun,2020,Jun 2020,Vopnafjarðarhreppur,Vopnafjarðarhreppur,3.75%
Jun,2020,Jun 2020,Þingeyjarsveit,Þingeyjarsveit,6.98%
Jul,2020,Jul 2020,Akrahreppur,Akrahreppur,5.61%
Jul,2020,Jul 2020,Akranes,Akraneskaupstaður,5.19%
Jul,2020,Jul 2020,Akureyri,Akureyrarkaupstaður,5.39%
Jul,2020,Jul 2020,Árneshreppur,Árneshreppur,4.17%
Jul,2020,Jul 2020,Ásahreppur,Ásahreppur,6.54%
Jul,2020,Jul 2020,Bláskógabyggð,Bláskógabyggð,7.91%
Jul,2020,Jul 2020,Blönduósbær,Blönduósbær,1.27%
Jul,2020,Jul 2020,Bolungarvík,Bolungarvíkurkaupstaður,3.54%
Jul,2020,Jul 2020,Borgarbyggð,Borgarbyggð,4.49%
Jul,2020,Jul 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,1.10%
Jul,2020,Jul 2020,Dalabyggð,Dalabyggð,2.99%
Jul,2020,Jul 2020,Dalvíkurbyggð,Dalvíkurbyggð,3.41%
Jul,2020,Jul 2020,Djúpavogshreppur,Djúpavogshreppur,3.44%
Jul,2020,Jul 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,11.94%
Jul,2020,Jul 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,4.61%
Jul,2020,Jul 2020,Fjallabyggð,Fjallabyggð,4.29%
Jul,2020,Jul 2020,Fjarðabyggð,Fjarðabyggð,2.78%
Jul,2020,Jul 2020,Fljótsdalshérað,Fljótsdalshérað,1.86%
Jul,2020,Jul 2020,Fljótsdalshreppur,Fljótsdalshreppur,1.43%
Jul,2020,Jul 2020,Flóahreppur,Flóahreppur,3.13%
Jul,2020,Jul 2020,Garðabær,Garðabær,6.41%
Jul,2020,Jul 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,5.50%
Jul,2020,Jul 2020,Grindavíkurbær,Grindavíkurbær,8.72%
Jul,2020,Jul 2020,Grundarfjarðarbær,Grundarfjarðarbær,5.08%
Jul,2020,Jul 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.62%
Jul,2020,Jul 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,7.34%
Jul,2020,Jul 2020,Helgafellssveit,Helgafellssveit,0.00%
Jul,2020,Jul 2020,Hörgársveit,Hörgársveit,6.37%
Jul,2020,Jul 2020,Hrunamannahreppur,Hrunamannahreppur,6.09%
Jul,2020,Jul 2020,Húnavatnshreppur,Húnavatnshreppur,1.79%
Jul,2020,Jul 2020,Húnaþing vestra,Húnaþing Vestra,5.08%
Jul,2020,Jul 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,3.65%
Jul,2020,Jul 2020,Hveragerði,Hveragerðisbær,4.59%
Jul,2020,Jul 2020,Ísafjarðarbær,Ísafjarðarbær,3.19%
Jul,2020,Jul 2020,Kaldrananeshreppur,Kaldrananeshreppur,4.11%
Jul,2020,Jul 2020,Kjósarhreppur,Kjósarhreppur,4.67%
Jul,2020,Jul 2020,Kópavogsbær,Kópavogsbær,7.49%
Jul,2020,Jul 2020,Langanesbyggð,Langanesbyggð,8.10%
Jul,2020,Jul 2020,Mosfellsbær,Mosfellsbær,6.13%
Jul,2020,Jul 2020,Mýrdalshreppur,Mýrdalshreppur,24.06%
Jul,2020,Jul 2020,Norðurþing,Norðurþing,7.63%
Jul,2020,Jul 2020,Rangárþing eystra,Rangárþing eystra,9.35%
Jul,2020,Jul 2020,Rangárþing ytra,Rangárþing ytra,7.37%
Jul,2020,Jul 2020,Reykhólahreppur,Reykhólahreppur,4.58%
Jul,2020,Jul 2020,Reykjanesbær,Reykjanesbær,18.24%
Jul,2020,Jul 2020,Reykjavíkurborg,Reykjavíkurborg,9.47%
Jul,2020,Jul 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,6.71%
Jul,2020,Jul 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,2.51%
Jul,2020,Jul 2020,Skaftárhreppur,Skaftárhreppur,14.11%
Jul,2020,Jul 2020,Skagabyggð,Skagabyggð,6.25%
Jul,2020,Jul 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,4.90%
Jul,2020,Jul 2020,Skorradalshreppur,Skorradalshreppur,2.78%
Jul,2020,Jul 2020,Skútustaðahreppur,Skútustaðahreppur,6.04%
Jul,2020,Jul 2020,Snæfellsbær,Snæfellsbær,5.69%
Jul,2020,Jul 2020,Strandabyggð,Strandabyggð,2.70%
Jul,2020,Jul 2020,Stykkishólmur,Stykkishólmsbær,3.74%
Jul,2020,Jul 2020,Súðavíkurhreppur,Súðavíkurhreppur,0.77%
Jul,2020,Jul 2020,Suðurnesjabær,Suðurnesjabær,13.72%
Jul,2020,Jul 2020,Svalbarðastrandahreppur,Svalbarðsstrandarhreppur,2.39%
Jul,2020,Jul 2020,Svalbarðshreppur,Svalbarðshreppur,3.85%
Jul,2020,Jul 2020,Sveitarfélagið Árborg,Sveitarfélagið Árborg,5.04%
Jul,2020,Jul 2020,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,6.82%
Jul,2020,Jul 2020,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,7.29%
Jul,2020,Jul 2020,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,2.30%
Jul,2020,Jul 2020,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,4.12%
Jul,2020,Jul 2020,Sveitarfélagið Vogar,Sveitarfélagið Vogar,12.33%
Jul,2020,Jul 2020,Tálknafjarðarhreppur,Tálknafjarðarhreppur,2.68%
Jul,2020,Jul 2020,Tjörneshreppur,Tjörneshreppur,3.85%
Jul,2020,Jul 2020,Vestmannaeyjar,Vestmannaeyjabær,3.74%
Jul,2020,Jul 2020,Vesturbyggð,Vesturbyggð,3.29%
Jul,2020,Jul 2020,Vopnafjarðarhreppur,Vopnafjarðarhreppur,3.22%
Jul,2020,Jul 2020,Þingeyjarsveit,Þingeyjarsveit,5.36%
Aug,2020,Aug 2020,Akrahreppur,Akrahreppur,6.03%
Aug,2020,Aug 2020,Akranes,Akraneskaupstaður,5.58%
Aug,2020,Aug 2020,Akureyri,Akureyrarkaupstaður,5.80%
Aug,2020,Aug 2020,Árneshreppur,Árneshreppur,4.48%
Aug,2020,Aug 2020,Ásahreppur,Ásahreppur,7.03%
Aug,2020,Aug 2020,Bláskógabyggð,Bláskógabyggð,8.48%
Aug,2020,Aug 2020,Blönduósbær,Blönduósbær,1.36%
Aug,2020,Aug 2020,Bolungarvík,Bolungarvíkurkaupstaður,3.80%
Aug,2020,Aug 2020,Borgarbyggð,Borgarbyggð,4.83%
Aug,2020,Aug 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,1.18%
Aug,2020,Aug 2020,Dalabyggð,Dalabyggð,3.22%
Aug,2020,Aug 2020,Dalvíkurbyggð,Dalvíkurbyggð,3.67%
Aug,2020,Aug 2020,Djúpavogshreppur,Djúpavogshreppur,3.67%
Aug,2020,Aug 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,12.84%
Aug,2020,Aug 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,4.96%
Aug,2020,Aug 2020,Fjallabyggð,Fjallabyggð,4.61%
Aug,2020,Aug 2020,Fjarðabyggð,Fjarðabyggð,3.00%
Aug,2020,Aug 2020,Fljótsdalshérað,Fljótsdalshérað,2.00%
Aug,2020,Aug 2020,Fljótsdalshreppur,Fljótsdalshreppur,1.49%
Aug,2020,Aug 2020,Flóahreppur,Flóahreppur,3.35%
Aug,2020,Aug 2020,Garðabær,Garðabær,6.88%
Aug,2020,Aug 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,5.93%
Aug,2020,Aug 2020,Grindavíkurbær,Grindavíkurbær,9.36%
Aug,2020,Aug 2020,Grundarfjarðarbær,Grundarfjarðarbær,5.46%
Aug,2020,Aug 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.81%
Aug,2020,Aug 2020,Hafnarfjarðarkaupstaður,Hafnarfjarðarbær,7.89%
Aug,2020,Aug 2020,Helgafellssveit,Helgafellssveit,0.00%
Aug,2020,Aug 2020,Hörgársveit,Hörgársveit,6.83%
Aug,2020,Aug 2020,Hrunamannahreppur,Hrunamannahreppur,6.52%
Aug,2020,Aug 2020,Húnavatnshreppur,Húnavatnshreppur,1.93%
Aug,2020,Aug 2020,Húnaþing vestra,Húnaþing Vestra,5.46%
Aug,2020,Aug 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,3.92%
Aug,2020,Aug 2020,Hveragerði,Hveragerðisbær,4.93%
Aug,2020,Aug 2020,Ísafjarðarbær,Ísafjarðarbær,3.43%
Aug,2020,Aug 2020,Kaldrananeshreppur,Kaldrananeshreppur,4.42%
Aug,2020,Aug 2020,Kjósarhreppur,Kjósarhreppur,5.02%
Aug,2020,Aug 2020,Kópavogsbær,Kópavogsbær,8.04%
Aug,2020,Aug 2020,Langanesbyggð,Langanesbyggð,8.71%
Aug,2020,Aug 2020,Mosfellsbær,Mosfellsbær,6.57%
Aug,2020,Aug 2020,Mýrdalshreppur,Mýrdalshreppur,25.81%
Aug,2020,Aug 2020,Norðurþing,Norðurþing,8.19%
Aug,2020,Aug 2020,Rangárþing eystra,Rangárþing eystra,10.04%
Aug,2020,Aug 2020,Rangárþing ytra,Rangárþing ytra,7.91%
Aug,2020,Aug 2020,Reykhólahreppur,Reykhólahreppur,4.89%
Aug,2020,Aug 2020,Reykjanesbær,Reykjanesbær,19.60%
Aug,2020,Aug 2020,Reykjavíkurborg,Reykjavíkurborg,10.16%
Aug,2020,Aug 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,7.22%
Aug,2020,Aug 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,2.70%
Aug,2020,Aug 2020,Skaftárhreppur,Skaftárhreppur,15.05%
Aug,2020,Aug 2020,Skagabyggð,Skagabyggð,6.72%
Aug,2020,Aug 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,5.30%
Aug,2020,Aug 2020,Skorradalshreppur,Skorradalshreppur,2.99%
Aug,2020,Aug 2020,Skútustaðahreppur,Skútustaðahreppur,6.50%
Aug,2020,Aug 2020,Snæfellsbær,Snæfellsbær,6.12%
Aug,2020,Aug 2020,Strandabyggð,Strandabyggð,2.91%
Aug,2020,Aug 2020,Stykkishólmur,Stykkishólmsbær,4.03%
Aug,2020,Aug 2020,Súðavíkurhreppur,Súðavíkurhreppur,0.83%
Aug,2020,Aug 2020,Suðurnesjabær,Suðurnesjabær,14.72%
Aug,2020,Aug 2020,Svalbarðastrandahreppur,Svalbarðsstrandarhreppur,2.57%
Aug,2020,Aug 2020,Svalbarðshreppur,Svalbarðshreppur,4.13%
Aug,2020,Aug 2020,Sveitarfélagið Árborg,Sveitarfélagið Árborg,5.40%
Aug,2020,Aug 2020,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,7.32%
Aug,2020,Aug 2020,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,7.81%
Aug,2020,Aug 2020,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,2.47%
Aug,2020,Aug 2020,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,4.41%
Aug,2020,Aug 2020,Sveitarfélagið Vogar,Sveitarfélagið Vogar,13.24%
Aug,2020,Aug 2020,Tálknafjarðarhreppur,Tálknafjarðarhreppur,2.89%
Aug,2020,Aug 2020,Tjörneshreppur,Tjörneshreppur,4.13%
Aug,2020,Aug 2020,Vestmannaeyjar,Vestmannaeyjabær,4.01%
Aug,2020,Aug 2020,Vesturbyggð,Vesturbyggð,3.54%
Aug,2020,Aug 2020,Vopnafjarðarhreppur,Vopnafjarðarhreppur,3.46%
Aug,2020,Aug 2020,Þingeyjarsveit,Þingeyjarsveit,5.77%
Sep,2020,Sep 2020,Akrahreppur,Akrahreppur,6.09%
Sep,2020,Sep 2020,Akraneskaupstaður,Akraneskaupstaður,5.63%
Sep,2020,Sep 2020,Akureyrarkaupstaður,Akureyrarkaupstaður,5.85%
Sep,2020,Sep 2020,Árneshreppur,Árneshreppur,4.52%
Sep,2020,Sep 2020,Ásahreppur,Ásahreppur,7.00%
Sep,2020,Sep 2020,Bláskógabyggð,Bláskógabyggð,8.54%
Sep,2020,Sep 2020,Blönduósbær,Blönduósbær,1.38%
Sep,2020,Sep 2020,Bolungarvík,Bolungarvíkurkaupstaður,3.84%
Sep,2020,Sep 2020,Borgarbyggð,Borgarbyggð,4.87%
Sep,2020,Sep 2020,Borgarfjarðarhreppur,Borgarfjarðarhreppur,1.18%
Sep,2020,Sep 2020,Dalabyggð,Dalabyggð,3.26%
Sep,2020,Sep 2020,Dalvíkurbyggð,Dalvíkurbyggð,3.70%
Sep,2020,Sep 2020,Djúpavogshreppur,Djúpavogshreppur,3.67%
Sep,2020,Sep 2020,Eyja- og Miklaholtshreppur,Eyja- og Miklaholtshreppur,12.96%
Sep,2020,Sep 2020,Eyjafjarðarsveit,Eyjafjarðarsveit,5.01%
Sep,2020,Sep 2020,Fjallabyggð,Fjallabyggð,4.65%
Sep,2020,Sep 2020,Fjarðabyggð,Fjarðabyggð,3.03%
Sep,2020,Sep 2020,Fljótsdalshérað,Fljótsdalshérað,2.02%
Sep,2020,Sep 2020,Fljótsdalshreppur,Fljótsdalshreppur,1.49%
Sep,2020,Sep 2020,Flóahreppur,Flóahreppur,3.38%
Sep,2020,Sep 2020,Garðabær,Garðabær,6.93%
Sep,2020,Sep 2020,Grímsnes- og Grafningshreppur,Grímsnes- og Grafningshreppur,5.99%
Sep,2020,Sep 2020,Grindavíkurbær,Grindavíkurbær,9.45%
Sep,2020,Sep 2020,Grundarfjarðarbær,Grundarfjarðarbær,5.51%
Sep,2020,Sep 2020,Grýtubakkahreppur,Grýtubakkahreppur,2.86%
Sep,2020,Sep 2020,Hafnarfjarðarbær,Hafnarfjarðarbær,7.97%
Sep,2020,Sep 2020,Helgafellssveit,Helgafellssveit,0.00%
Sep,2020,Sep 2020,Hörgársveit,Hörgársveit,6.90%
Sep,2020,Sep 2020,Hrunamannahreppur,Hrunamannahreppur,6.56%
Sep,2020,Sep 2020,Húnavatnshreppur,Húnavatnshreppur,1.95%
Sep,2020,Sep 2020,Húnaþing vestra,Húnaþing Vestra,5.52%
Sep,2020,Sep 2020,Hvalfjarðarsveit,Hvalfjarðarsveit,3.95%
Sep,2020,Sep 2020,Hveragerði,Hveragerðisbær,4.97%
Sep,2020,Sep 2020,Ísafjarðarbær,Ísafjarðarbær,3.47%
Sep,2020,Sep 2020,Kaldrananeshreppur,Kaldrananeshreppur,4.46%
Sep,2020,Sep 2020,Kjósarhreppur,Kjósarhreppur,5.07%
Sep,2020,Sep 2020,Kópavogsbær,Kópavogsbær,8.11%
Sep,2020,Sep 2020,Langanesbyggð,Langanesbyggð,8.86%
Sep,2020,Sep 2020,Mosfellsbær,Mosfellsbær,6.61%
Sep,2020,Sep 2020,Mýrdalshreppur,Mýrdalshreppur,25.96%
Sep,2020,Sep 2020,Norðurþing,Norðurþing,8.26%
Sep,2020,Sep 2020,Rangárþing eystra,Rangárþing eystra,10.12%
Sep,2020,Sep 2020,Rangárþing ytra,Rangárþing ytra,7.99%
Sep,2020,Sep 2020,Reykhólahreppur,Reykhólahreppur,4.94%
Sep,2020,Sep 2020,Reykjanesbær,Reykjanesbær,19.78%
Sep,2020,Sep 2020,Reykjavíkurborg,Reykjavíkurborg,10.25%
Sep,2020,Sep 2020,Seltjarnarneskaupstaður,Seltjarnarneskaupstaður,7.29%
Sep,2020,Sep 2020,Seyðisfjörður,Seyðisfjarðarkaupstaður,2.73%
Sep,2020,Sep 2020,Skaftárhreppur,Skaftárhreppur,15.12%
Sep,2020,Sep 2020,Skagabyggð,Skagabyggð,6.79%
Sep,2020,Sep 2020,Skeiða- og Gnúpverjahreppur,Skeiða- og Gnúpverjahreppur,5.38%
Sep,2020,Sep 2020,Skorradalshreppur,Skorradalshreppur,3.02%
Sep,2020,Sep 2020,Skútustaðahreppur,Skútustaðahreppur,6.56%
Sep,2020,Sep 2020,Snæfellsbær,Snæfellsbær,6.18%
Sep,2020,Sep 2020,Strandabyggð,Strandabyggð,2.92%
Sep,2020,Sep 2020,Stykkishólmur,Stykkishólmsbær,4.06%
Sep,2020,Sep 2020,Súðavíkurhreppur,Súðavíkurhreppur,0.84%
Sep,2020,Sep 2020,Suðurnesjabær,Suðurnesjabær,14.85%
Sep,2020,Sep 2020,Svalbarðastrandahreppur,Svalbarðsstrandarhreppur,2.60%
Sep,2020,Sep 2020,Svalbarðshreppur,Svalbarðshreppur ,4.18%
Sep,2020,Sep 2020,Sveitarfélagið Árborg,Sveitarfélagið Árborg,5.43%
Sep,2020,Sep 2020,Sveitarfélagið Hornafjörður,Sveitarfélagið Hornafjörður,7.38%
Sep,2020,Sep 2020,Sveitarfélagið Ölfus,Sveitarfélagið Ölfus,7.87%
Sep,2020,Sep 2020,Sveitarfélagið Skagafjörður,Sveitarfélagið Skagafjörður,2.49%
Sep,2020,Sep 2020,Sveitarfélagið Skagaströnd,Sveitarfélagið Skagaströnd,4.44%
Sep,2020,Sep 2020,Sveitarfélagið Vogar,Sveitarfélagið Vogar,13.37%
Sep,2020,Sep 2020,Tálknafjarðarhreppur,Tálknafjarðarhreppur,2.91%
Sep,2020,Sep 2020,Tjörneshreppur,Tjörneshreppur,4.18%
Sep,2020,Sep 2020,Vestmannaeyjar,Vestmannaeyjabær,4.04%
Sep,2020,Sep 2020,Vesturbyggð,Vesturbyggð,3.56%
Sep,2020,Sep 2020,Vopnafjarðarhreppur,Vopnafjarðarhreppur,3.50%
Sep,2020,Sep 2020,Þingeyjarsveit,Þingeyjarsveit,5.85%
